,U_DPTO,U_MPIO,DomesticViolenceCases,Population,Municipio,Departamento,CasesPer1000Habitants
133,8,436,94,19233.0,Manati,Atlantico,4.8874330577653
134,8,520,75,27087.0,Palmar de varela,Atlantico,2.768855908738509
135,8,549,17,5636.0,Piojo,Atlantico,3.0163236337828248
136,8,558,41,16221.0,Polo nuevo,Atlantico,2.527587694963319
137,8,560,53,23412.0,Ponedera,Atlantico,2.263796343755339
138,8,573,430,47742.0,Puerto colombia,Atlantico,9.00674458548029
139,8,606,113,25467.0,Repelon,Atlantico,4.437114697451604
140,8,634,133,31991.0,Sabanagrande,Atlantico,4.15741927417086
141,8,638,897,92283.0,Sabanalarga,Atlantico,9.720100126783914
142,8,675,18,12650.0,Santa lucia,Atlantico,1.4229249011857708
143,8,685,76,28635.0,Santo tomas,Atlantico,2.6540946394272744
144,8,758,7865,535639.0,Soledad,Atlantico,14.683396840035918
145,8,770,14,11607.0,Suan,Atlantico,1.2061686913069698
146,8,832,53,12718.0,Tubara,Atlantico,4.167321905960057
147,8,849,22,9543.0,Usiacuri,Atlantico,2.3053547102588285
148,11,1,212649,7149540.0,"Santa fe de bogota, d. c.",Santa fe de bogotá,29.743032418868907
149,11,1,212649,7149540.0,Santafe de bogota d.c.- usaquen,Santa fe de bogotá,29.743032418868907
150,13,1,15096,884084.0,Cartagena (distrito turistico y cultural de cartagena),Bolivar,17.07530053705304
151,13,6,29,18864.0,Achi,Bolivar,1.5373197625106023
152,13,30,12,9009.0,Altos del rosario,Bolivar,1.332001332001332
153,13,42,15,7169.0,Arenal,Bolivar,2.0923420281768728
154,13,52,437,67100.0,Arjona,Bolivar,6.512667660208644
155,13,62,39,8058.0,Arroyohondo,Bolivar,4.839910647803425
156,13,74,39,14435.0,Barranco de loba,Bolivar,2.701766539660547
157,13,140,158,22202.0,Calamar,Bolivar,7.11647599315377
158,13,160,95,6874.0,Cantagallo,Bolivar,13.820192027931336
159,13,188,68,13120.0,Cicuco,Bolivar,5.182926829268293
160,13,212,62,14992.0,Cordoba,Bolivar,4.135538954108858
161,13,222,146,13821.0,Clemencia,Bolivar,10.563635048115188
162,13,244,1386,67376.0,El carmen de bolivar,Bolivar,20.571123248634528
163,13,248,45,7861.0,El guamo,Bolivar,5.724462536572955
164,13,268,12,7234.0,El peñon,Bolivar,1.6588332872546308
165,13,300,28,11770.0,Hatillo de loba,Bolivar,2.3789294817332203
166,13,430,2064,127471.0,Magangue,Bolivar,16.191918161777973
167,13,433,70,25772.0,Mahates,Bolivar,2.716126028247711
168,13,440,10,9720.0,Margarita,Bolivar,1.02880658436214
169,13,442,285,45321.0,Maria la baja,Bolivar,6.288475541139869
170,13,458,11,13470.0,Montecristo,Bolivar,0.8166295471417966
171,13,468,236,43209.0,Mompos,Bolivar,5.461825082737392
172,13,473,28,18678.0,Morales,Bolivar,1.4990898383124531
173,13,549,33,23349.0,Pinillos,Bolivar,1.4133367596042656
174,13,580,15,5335.0,Regidor,Bolivar,2.8116213683223994
175,13,600,10,8125.0,Rio viejo,Bolivar,1.2307692307692308
176,13,620,23,7454.0,San cristobal,Bolivar,3.0855916286557554
177,13,647,77,16518.0,San estanislao,Bolivar,4.661581305242765
178,13,650,17,9776.0,San fernando,Bolivar,1.7389525368248773
179,13,654,190,23551.0,San jacinto,Bolivar,8.067597978854401
180,13,655,2,8079.0,San jacinto del cauca,Bolivar,0.24755539051862854
181,13,657,381,35412.0,San juan nepomuceno,Bolivar,10.759064723822434
182,13,667,88,14501.0,San martin de loba,Bolivar,6.068546996758844
183,13,670,220,24520.0,San pablo,Bolivar,8.97226753670473
184,13,673,128,14039.0,Santa catalina,Bolivar,9.117458508440773
185,13,683,277,18375.0,Santa rosa,Bolivar,15.074829931972788
186,13,688,204,27284.0,Santa rosa del sur,Bolivar,7.4769095440551245
187,13,744,147,15264.0,Simiti,Bolivar,9.630503144654087
188,13,760,52,9187.0,Soplaviento,Bolivar,5.660171982148688
189,13,780,35,12845.0,Talaigua nuevo,Bolivar,2.7247956403269753
190,13,810,39,17918.0,Tiquisio (puerto rico),Bolivar,2.176582207835696
191,13,836,751,98380.0,Turbaco,Bolivar,7.633665379142101
192,13,838,79,15544.0,Turbana,Bolivar,5.082346886258363
193,13,873,180,21135.0,Villanueva,Bolivar,8.516678495386799
194,13,894,56,11367.0,Zambrano,Bolivar,4.926541743643881
195,15,1,10439,166850.0,Tunja,Boyaca,62.56517830386575
196,15,22,30,1582.0,Almeida,Boyaca,18.963337547408344
197,15,47,198,13860.0,Aquitania,Boyaca,14.285714285714285
198,15,51,126,5447.0,Arcabuco,Boyaca,23.13199926565082
199,15,87,170,7322.0,Belen,Boyaca,23.217700081944823
200,15,90,14,1442.0,Berbeo,Boyaca,9.70873786407767
201,15,92,10,1895.0,Beteitiva,Boyaca,5.277044854881266
202,15,97,56,4932.0,Boavita,Boyaca,11.3544201135442
203,15,104,105,4472.0,Boyaca,Boyaca,23.47942754919499
204,15,106,31,2043.0,Briceño,Boyaca,15.173764072442488
205,15,109,159,4240.0,Buenavista,Boyaca,37.5
206,15,114,18,896.0,Busbanza,Boyaca,20.089285714285715
207,15,131,38,3085.0,Caldas,Boyaca,12.317666126418152
208,15,135,29,2705.0,Campohermoso,Boyaca,10.720887245841036
209,15,162,87,3636.0,Cerinza,Boyaca,23.92739273927393
210,15,172,32,2822.0,Chinavita,Boyaca,11.339475549255848
211,15,176,2065,51414.0,Chiquinquira,Boyaca,40.16415762243747
212,15,180,20,3587.0,Chiscas,Boyaca,5.575689991636465
213,15,183,17,7735.0,Chita,Boyaca,2.197802197802198
214,15,185,120,5013.0,Chitaraque,Boyaca,23.937761819269898
215,15,187,38,2783.0,Chivata,Boyaca,13.654329859863456
216,15,189,76,4492.0,Cienega,Boyaca,16.918967052537845
217,15,204,175,9341.0,Combita,Boyaca,18.734610855368807
218,15,212,53,3019.0,Coper,Boyaca,17.555481947664788
219,15,215,25,2479.0,Corrales,Boyaca,10.084711577248891
220,15,218,15,2594.0,Covarachia,Boyaca,5.782575173477255
221,15,223,46,9942.0,Cubara,Boyaca,4.626835646751157
222,15,224,69,3375.0,Cucaita,Boyaca,20.444444444444446
223,15,226,82,1628.0,Cuitiva,Boyaca,50.368550368550366
224,15,232,44,4347.0,Chiquiza,Boyaca,10.121923165401427
225,15,236,23,1669.0,Chivor,Boyaca,13.780707010185742
226,15,238,6060,116737.0,Duitama,Boyaca,51.911561886976706
227,15,244,59,3952.0,El cocuy,Boyaca,14.929149797570851
